Title,Slug,Difficulty,Tags,Paid Only
Corporate Flight Bookings,corporate-flight-bookings,Medium,"Array, Prefix Sum",FALSE
Delete Nodes And Return Forest,delete-nodes-and-return-forest,Medium,"Array, Hash Table, Tree, Depth-First Search, Binary Tree",FALSE
Maximum Nesting Depth of Two Valid Parentheses Strings,maximum-nesting-depth-of-two-valid-parentheses-strings,Medium,"String, Stack",FALSE
Number of Days in a Month,number-of-days-in-a-month,Easy,Math,TRUE
Remove Vowels from a String,remove-vowels-from-a-string,Easy,String,TRUE
Maximum Average Subtree,maximum-average-subtree,Medium,"Tree, Depth-First Search, Binary Tree",TRUE
Divide Array Into Increasing Sequences,divide-array-into-increasing-sequences,Hard,"Array, Counting",TRUE
Relative Sort Array,relative-sort-array,Easy,"Array, Hash Table, Sorting, Counting Sort",FALSE
Lowest Common Ancestor of Deepest Leaves,lowest-common-ancestor-of-deepest-leaves,Medium,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree",FALSE
Longest Well-Performing Interval,longest-well-performing-interval,Medium,"Array, Hash Table, Stack, Monotonic Stack, Prefix Sum",FALSE
Smallest Sufficient Team,smallest-sufficient-team,Hard,"Array, Dynamic Programming, Bit Manipulation, Bitmask",FALSE
Number of Equivalent Domino Pairs,number-of-equivalent-domino-pairs,Easy,"Array, Hash Table, Counting",FALSE
Shortest Path with Alternating Colors,shortest-path-with-alternating-colors,Medium,"Breadth-First Search, Graph",FALSE
Minimum Cost Tree From Leaf Values,minimum-cost-tree-from-leaf-values,Medium,"Array, Dynamic Programming, Stack, Greedy, Monotonic Stack",FALSE
Maximum of Absolute Value Expression,maximum-of-absolute-value-expression,Medium,"Array, Math",FALSE
Largest Unique Number,largest-unique-number,Easy,"Array, Hash Table, Sorting",TRUE
Armstrong Number,armstrong-number,Easy,Math,TRUE
Connecting Cities With Minimum Cost,connecting-cities-with-minimum-cost,Medium,"Union Find, Graph, Heap (Priority Queue), Minimum Spanning Tree",TRUE
Parallel Courses,parallel-courses,Medium,"Graph, Topological Sort",TRUE
N-th Tribonacci Number,n-th-tribonacci-number,Easy,"Math, Dynamic Programming, Memoization",FALSE
Alphabet Board Path,alphabet-board-path,Medium,"Hash Table, String",FALSE
Largest 1-Bordered Square,largest-1-bordered-square,Medium,"Array, Dynamic Programming, Matrix",FALSE
Stone Game II,stone-game-ii,Medium,"Array, Math, Dynamic Programming, Prefix Sum, Game Theory",FALSE
Longest Common Subsequence,longest-common-subsequence,Medium,"String, Dynamic Programming",FALSE
Decrease Elements To Make Array Zigzag,decrease-elements-to-make-array-zigzag,Medium,"Array, Greedy",FALSE
Binary Tree Coloring Game,binary-tree-coloring-game,Medium,"Tree, Depth-First Search, Binary Tree",FALSE
Snapshot Array,snapshot-array,Medium,"Array, Hash Table, Binary Search, Design",FALSE
Longest Chunked Palindrome Decomposition,longest-chunked-palindrome-decomposition,Hard,"Two Pointers, String, Dynamic Programming, Greedy, Rolling Hash, Hash Function",FALSE
Check If a Number Is Majority Element in a Sorted Array,check-if-a-number-is-majority-element-in-a-sorted-array,Easy,"Array, Binary Search",TRUE
Minimum Swaps to Group All 1's Together,minimum-swaps-to-group-all-1s-together,Medium,"Array, Sliding Window",TRUE
Analyze User Website Visit Pattern,analyze-user-website-visit-pattern,Medium,"Array, Hash Table, Sorting",TRUE
String Transforms Into Another String,string-transforms-into-another-string,Hard,"Hash Table, String",TRUE
Day of the Year,day-of-the-year,Easy,"Math, String",FALSE
Number of Dice Rolls With Target Sum,number-of-dice-rolls-with-target-sum,Medium,Dynamic Programming,FALSE
Swap For Longest Repeated Character Substring,swap-for-longest-repeated-character-substring,Medium,"Hash Table, String, Sliding Window",FALSE
Online Majority Element In Subarray,online-majority-element-in-subarray,Hard,"Array, Binary Search, Design, Binary Indexed Tree, Segment Tree",FALSE
Find Words That Can Be Formed by Characters,find-words-that-can-be-formed-by-characters,Easy,"Array, Hash Table, String, Counting",FALSE
Maximum Level Sum of a Binary Tree,maximum-level-sum-of-a-binary-tree,Medium,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",FALSE
As Far from Land as Possible,as-far-from-land-as-possible,Medium,"Array, Dynamic Programming, Breadth-First Search, Matrix",FALSE
Last Substring in Lexicographical Order,last-substring-in-lexicographical-order,Hard,"Two Pointers, String",FALSE
Single-Row Keyboard,single-row-keyboard,Easy,"Hash Table, String",TRUE
Design File System,design-file-system,Medium,"Hash Table, String, Design, Trie",TRUE
Minimum Cost to Connect Sticks,minimum-cost-to-connect-sticks,Medium,"Array, Greedy, Heap (Priority Queue)",TRUE
Optimize Water Distribution in a Village,optimize-water-distribution-in-a-village,Hard,"Union Find, Graph, Heap (Priority Queue), Minimum Spanning Tree",TRUE
Invalid Transactions,invalid-transactions,Medium,"Array, Hash Table, String, Sorting",FALSE
Compare Strings by Frequency of the Smallest Character,compare-strings-by-frequency-of-the-smallest-character,Medium,"Array, Hash Table, String, Binary Search, Sorting",FALSE
Remove Zero Sum Consecutive Nodes from Linked List,remove-zero-sum-consecutive-nodes-from-linked-list,Medium,"Hash Table, Linked List",FALSE
Dinner Plate Stacks,dinner-plate-stacks,Hard,"Hash Table, Stack, Design, Heap (Priority Queue)",FALSE
Prime Arrangements,prime-arrangements,Easy,Math,FALSE
Diet Plan Performance,diet-plan-performance,Easy,"Array, Sliding Window",TRUE
Can Make Palindrome from Substring,can-make-palindrome-from-substring,Medium,"Array, Hash Table, String, Bit Manipulation, Prefix Sum",FALSE
Number of Valid Words for Each Puzzle,number-of-valid-words-for-each-puzzle,Hard,"Array, Hash Table, String, Bit Manipulation, Trie",FALSE
Count Substrings with Only One Distinct Letter,count-substrings-with-only-one-distinct-letter,Easy,"Math, String",TRUE
Before and After Puzzle,before-and-after-puzzle,Medium,"Array, Hash Table, String, Sorting",TRUE
Shortest Distance to Target Color,shortest-distance-to-target-color,Medium,"Array, Binary Search, Dynamic Programming",TRUE
Maximum Number of Ones,maximum-number-of-ones,Hard,"Math, Greedy, Sorting, Heap (Priority Queue)",TRUE
Distance Between Bus Stops,distance-between-bus-stops,Easy,Array,FALSE
Day of the Week,day-of-the-week,Easy,Math,FALSE
Maximum Subarray Sum with One Deletion,maximum-subarray-sum-with-one-deletion,Medium,"Array, Dynamic Programming",FALSE
Make Array Strictly Increasing,make-array-strictly-increasing,Hard,"Array, Binary Search, Dynamic Programming, Sorting",FALSE
Maximum Number of Balloons,maximum-number-of-balloons,Easy,"Hash Table, String, Counting",FALSE
Reverse Substrings Between Each Pair of Parentheses,reverse-substrings-between-each-pair-of-parentheses,Medium,"String, Stack",FALSE
K-Concatenation Maximum Sum,k-concatenation-maximum-sum,Medium,"Array, Dynamic Programming",FALSE
Critical Connections in a Network,critical-connections-in-a-network,Hard,"Depth-First Search, Graph, Biconnected Component",FALSE
How Many Apples Can You Put into the Basket,how-many-apples-can-you-put-into-the-basket,Easy,"Array, Greedy, Sorting",TRUE
Minimum Knight Moves,minimum-knight-moves,Medium,Breadth-First Search,TRUE
Find Smallest Common Element in All Rows,find-smallest-common-element-in-all-rows,Medium,"Array, Hash Table, Binary Search, Matrix, Counting",TRUE
Minimum Time to Build Blocks,minimum-time-to-build-blocks,Hard,"Array, Math, Greedy, Heap (Priority Queue)",TRUE
Minimum Absolute Difference,minimum-absolute-difference,Easy,"Array, Sorting",FALSE
Ugly Number III,ugly-number-iii,Medium,"Math, Binary Search, Combinatorics, Number Theory",FALSE
Smallest String With Swaps,smallest-string-with-swaps,Medium,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find, Sorting",FALSE
Sort Items by Groups Respecting Dependencies,sort-items-by-groups-respecting-dependencies,Hard,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",FALSE
Design Skiplist,design-skiplist,Hard,"Linked List, Design",FALSE
Unique Number of Occurrences,unique-number-of-occurrences,Easy,"Array, Hash Table",FALSE
Get Equal Substrings Within Budget,get-equal-substrings-within-budget,Medium,"String, Binary Search, Sliding Window, Prefix Sum",FALSE
Remove All Adjacent Duplicates in String II,remove-all-adjacent-duplicates-in-string-ii,Medium,"String, Stack",FALSE
Minimum Moves to Reach Target with Rotations,minimum-moves-to-reach-target-with-rotations,Hard,"Array, Breadth-First Search, Matrix",FALSE
Intersection of Three Sorted Arrays,intersection-of-three-sorted-arrays,Easy,"Array, Hash Table, Binary Search, Counting",TRUE
Two Sum BSTs,two-sum-bsts,Medium,"Two Pointers, Binary Search, Stack, Tree, Depth-First Search, Binary Search Tree, Binary Tree",TRUE
Stepping Numbers,stepping-numbers,Medium,"Math, Backtracking, Breadth-First Search",TRUE
Valid Palindrome III,valid-palindrome-iii,Hard,"String, Dynamic Programming",TRUE
Minimum Cost to Move Chips to The Same Position,minimum-cost-to-move-chips-to-the-same-position,Easy,"Array, Math, Greedy",FALSE
Longest Arithmetic Subsequence of Given Difference,longest-arithmetic-subsequence-of-given-difference,Medium,"Array, Hash Table, Dynamic Programming",FALSE
Path with Maximum Gold,path-with-maximum-gold,Medium,"Array, Backtracking, Matrix",FALSE
Count Vowels Permutation,count-vowels-permutation,Hard,Dynamic Programming,FALSE
Split a String in Balanced Strings,split-a-string-in-balanced-strings,Easy,"String, Greedy, Counting",FALSE
Queens That Can Attack the King,queens-that-can-attack-the-king,Medium,"Array, Matrix, Simulation",FALSE
Dice Roll Simulation,dice-roll-simulation,Hard,"Array, Dynamic Programming",FALSE
Maximum Equal Frequency,maximum-equal-frequency,Hard,"Array, Hash Table",FALSE
Airplane Seat Assignment Probability,airplane-seat-assignment-probability,Medium,"Math, Dynamic Programming, Brainteaser, Probability and Statistics",FALSE
Missing Number In Arithmetic Progression,missing-number-in-arithmetic-progression,Easy,"Array, Math",TRUE
Meeting Scheduler,meeting-scheduler,Medium,"Array, Two Pointers, Sorting",TRUE
Toss Strange Coins,toss-strange-coins,Medium,"Array, Math, Dynamic Programming, Probability and Statistics",TRUE
Divide Chocolate,divide-chocolate,Hard,"Array, Binary Search",TRUE
Check If It Is a Straight Line,check-if-it-is-a-straight-line,Easy,"Array, Math, Geometry",FALSE
Remove Sub-Folders from the Filesystem,remove-sub-folders-from-the-filesystem,Medium,"Array, String, Depth-First Search, Trie",FALSE
Replace the Substring for Balanced String,replace-the-substring-for-balanced-string,Medium,"String, Sliding Window",FALSE
Maximum Profit in Job Scheduling,maximum-profit-in-job-scheduling,Hard,"Array, Binary Search, Dynamic Programming, Sorting",FALSE
Web Crawler,web-crawler,Medium,"String, Depth-First Search, Breadth-First Search, Interactive",TRUE
Find Positive Integer Solution for a Given Equation,find-positive-integer-solution-for-a-given-equation,Medium,"Math, Two Pointers, Binary Search, Interactive",FALSE
Circular Permutation in Binary Representation,circular-permutation-in-binary-representation,Medium,"Math, Backtracking, Bit Manipulation",FALSE
Maximum Length of a Concatenated String with Unique Characters,maximum-length-of-a-concatenated-string-with-unique-characters,Medium,"Array, String, Backtracking, Bit Manipulation",FALSE
Tiling a Rectangle with the Fewest Squares,tiling-a-rectangle-with-the-fewest-squares,Hard,Backtracking,FALSE
Web Crawler Multithreaded,web-crawler-multithreaded,Medium,"Depth-First Search, Breadth-First Search, Concurrency",TRUE
Array Transformation,array-transformation,Easy,"Array, Simulation",TRUE
Design A Leaderboard,design-a-leaderboard,Medium,"Hash Table, Design, Sorting",TRUE
Tree Diameter,tree-diameter,Medium,"Tree, Depth-First Search, Breadth-First Search, Graph, Topological Sort",TRUE
Palindrome Removal,palindrome-removal,Hard,"Array, Dynamic Programming",TRUE
Minimum Swaps to Make Strings Equal,minimum-swaps-to-make-strings-equal,Medium,"Math, String, Greedy",FALSE
Count Number of Nice Subarrays,count-number-of-nice-subarrays,Medium,"Array, Hash Table, Math, Sliding Window, Prefix Sum",FALSE
Minimum Remove to Make Valid Parentheses,minimum-remove-to-make-valid-parentheses,Medium,"String, Stack",FALSE
Check If It Is a Good Array,check-if-it-is-a-good-array,Hard,"Array, Math, Number Theory",FALSE
Cells with Odd Values in a Matrix,cells-with-odd-values-in-a-matrix,Easy,"Array, Math, Simulation",FALSE
Reconstruct a 2-Row Binary Matrix,reconstruct-a-2-row-binary-matrix,Medium,"Array, Greedy, Matrix",FALSE
Number of Closed Islands,number-of-closed-islands,Medium,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",FALSE
Maximum Score Words Formed by Letters,maximum-score-words-formed-by-letters,Hard,"Array, String, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask",FALSE
Encode Number,encode-number,Medium,"Math, String, Bit Manipulation",TRUE
Smallest Common Region,smallest-common-region,Medium,"Array, Hash Table, String, Tree, Depth-First Search, Breadth-First Search",TRUE
Synonymous Sentences,synonymous-sentences,Medium,"Array, Hash Table, String, Backtracking, Union Find",TRUE
Handshakes That Don't Cross,handshakes-that-dont-cross,Hard,"Math, Dynamic Programming",TRUE
Shift 2D Grid,shift-2d-grid,Easy,"Array, Matrix, Simulation",FALSE
Find Elements in a Contaminated Binary Tree,find-elements-in-a-contaminated-binary-tree,Medium,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree",FALSE
Greatest Sum Divisible by Three,greatest-sum-divisible-by-three,Medium,"Array, Dynamic Programming, Greedy, Sorting",FALSE
Minimum Moves to Move a Box to Their Target Location,minimum-moves-to-move-a-box-to-their-target-location,Hard,"Array, Breadth-First Search, Heap (Priority Queue), Matrix",FALSE
Print Immutable Linked List in Reverse,print-immutable-linked-list-in-reverse,Medium,"Linked List, Two Pointers, Stack, Recursion",TRUE
Minimum Time Visiting All Points,minimum-time-visiting-all-points,Easy,"Array, Math, Geometry",FALSE
Count Servers that Communicate,count-servers-that-communicate,Medium,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix, Counting",FALSE
Search Suggestions System,search-suggestions-system,Medium,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)",FALSE
Number of Ways to Stay in the Same Place After Some Steps,number-of-ways-to-stay-in-the-same-place-after-some-steps,Hard,Dynamic Programming,FALSE
Hexspeak,hexspeak,Easy,"Math, String",TRUE
Remove Interval,remove-interval,Medium,Array,TRUE
Delete Tree Nodes,delete-tree-nodes,Medium,"Array, Tree, Depth-First Search, Breadth-First Search",TRUE
Number of Ships in a Rectangle,number-of-ships-in-a-rectangle,Hard,"Array, Divide and Conquer, Interactive",TRUE
Find Winner on a Tic Tac Toe Game,find-winner-on-a-tic-tac-toe-game,Easy,"Array, Hash Table, Matrix, Simulation",FALSE
Number of Burgers with No Waste of Ingredients,number-of-burgers-with-no-waste-of-ingredients,Medium,Math,FALSE
Count Square Submatrices with All Ones,count-square-submatrices-with-all-ones,Medium,"Array, Dynamic Programming, Matrix",FALSE
Palindrome Partitioning III,palindrome-partitioning-iii,Hard,"String, Dynamic Programming",FALSE
Subtract the Product and Sum of Digits of an Integer,subtract-the-product-and-sum-of-digits-of-an-integer,Easy,Math,FALSE
Group the People Given the Group Size They Belong To,group-the-people-given-the-group-size-they-belong-to,Medium,"Array, Hash Table, Greedy",FALSE
Find the Smallest Divisor Given a Threshold,find-the-smallest-divisor-given-a-threshold,Medium,"Array, Binary Search",FALSE
Minimum Number of Flips to Convert Binary Matrix to Zero Matrix,minimum-number-of-flips-to-convert-binary-matrix-to-zero-matrix,Hard,"Array, Hash Table, Bit Manipulation, Breadth-First Search, Matrix",FALSE
Iterator for Combination,iterator-for-combination,Medium,"String, Backtracking, Design, Iterator",FALSE
Element Appearing More Than 25% In Sorted Array,element-appearing-more-than-25-in-sorted-array,Easy,Array,FALSE
Remove Covered Intervals,remove-covered-intervals,Medium,"Array, Sorting",FALSE
Minimum Falling Path Sum II,minimum-falling-path-sum-ii,Hard,"Array, Dynamic Programming, Matrix",FALSE
Convert Binary Number in a Linked List to Integer,convert-binary-number-in-a-linked-list-to-integer,Easy,"Linked List, Math",FALSE
Maximum Side Length of a Square with Sum Less than or Equal to Threshold,maximum-side-length-of-a-square-with-sum-less-than-or-equal-to-threshold,Medium,"Array, Binary Search, Matrix, Prefix Sum",FALSE
Shortest Path in a Grid with Obstacles Elimination,shortest-path-in-a-grid-with-obstacles-elimination,Hard,"Array, Breadth-First Search, Matrix",FALSE
Find Numbers with Even Number of Digits,find-numbers-with-even-number-of-digits,Easy,"Array, Math",FALSE
Divide Array in Sets of K Consecutive Numbers,divide-array-in-sets-of-k-consecutive-numbers,Medium,"Array, Hash Table, Greedy, Sorting",FALSE
Maximum Number of Occurrences of a Substring,maximum-number-of-occurrences-of-a-substring,Medium,"Hash Table, String, Sliding Window",FALSE
Maximum Candies You Can Get from Boxes,maximum-candies-you-can-get-from-boxes,Hard,"Array, Breadth-First Search, Graph",FALSE
Replace Elements with Greatest Element on Right Side,replace-elements-with-greatest-element-on-right-side,Easy,Array,FALSE
Sum of Mutated Array Closest to Target,sum-of-mutated-array-closest-to-target,Medium,"Array, Binary Search, Sorting",FALSE
Number of Paths with Max Score,number-of-paths-with-max-score,Hard,"Array, Dynamic Programming, Matrix",FALSE
Deepest Leaves Sum,deepest-leaves-sum,Medium,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",FALSE
Find N Unique Integers Sum up to Zero,find-n-unique-integers-sum-up-to-zero,Easy,"Array, Math",FALSE
All Elements in Two Binary Search Trees,all-elements-in-two-binary-search-trees,Medium,"Tree, Depth-First Search, Binary Search Tree, Sorting, Binary Tree",FALSE
Jump Game III,jump-game-iii,Medium,"Array, Depth-First Search, Breadth-First Search",FALSE
Verbal Arithmetic Puzzle,verbal-arithmetic-puzzle,Hard,"Array, Math, String, Backtracking",FALSE
Decrypt String from Alphabet to Integer Mapping,decrypt-string-from-alphabet-to-integer-mapping,Easy,String,FALSE
XOR Queries of a Subarray,xor-queries-of-a-subarray,Medium,"Array, Bit Manipulation, Prefix Sum",FALSE
Get Watched Videos by Your Friends,get-watched-videos-by-your-friends,Medium,"Array, Hash Table, Breadth-First Search, Graph, Sorting",FALSE
Minimum Insertion Steps to Make a String Palindrome,minimum-insertion-steps-to-make-a-string-palindrome,Hard,"String, Dynamic Programming",FALSE
Decompress Run-Length Encoded List,decompress-run-length-encoded-list,Easy,Array,FALSE
Matrix Block Sum,matrix-block-sum,Medium,"Array, Matrix, Prefix Sum",FALSE
Sum of Nodes with Even-Valued Grandparent,sum-of-nodes-with-even-valued-grandparent,Medium,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",FALSE
Distinct Echo Substrings,distinct-echo-substrings,Hard,"String, Trie, Rolling Hash, Hash Function",FALSE
Convert Integer to the Sum of Two No-Zero Integers,convert-integer-to-the-sum-of-two-no-zero-integers,Easy,Math,FALSE
Minimum Flips to Make a OR b Equal to c,minimum-flips-to-make-a-or-b-equal-to-c,Medium,Bit Manipulation,FALSE
Number of Operations to Make Network Connected,number-of-operations-to-make-network-connected,Medium,"Depth-First Search, Breadth-First Search, Union Find, Graph",FALSE
Minimum Distance to Type a Word Using Two Fingers,minimum-distance-to-type-a-word-using-two-fingers,Hard,"String, Dynamic Programming",FALSE
Maximum 69 Number,maximum-69-number,Easy,"Math, Greedy",FALSE
Print Words Vertically,print-words-vertically,Medium,"Array, String, Simulation",FALSE
Delete Leaves With a Given Value,delete-leaves-with-a-given-value,Medium,"Tree, Depth-First Search, Binary Tree",FALSE
Minimum Number of Taps to Open to Water a Garden,minimum-number-of-taps-to-open-to-water-a-garden,Hard,"Array, Dynamic Programming, Greedy",FALSE
Break a Palindrome,break-a-palindrome,Medium,"String, Greedy",FALSE
Sort the Matrix Diagonally,sort-the-matrix-diagonally,Medium,"Array, Sorting, Matrix",FALSE
Reverse Subarray To Maximize Array Value,reverse-subarray-to-maximize-array-value,Hard,"Array, Math, Greedy",FALSE
Rank Transform of an Array,rank-transform-of-an-array,Easy,"Array, Hash Table, Sorting",FALSE
Remove Palindromic Subsequences,remove-palindromic-subsequences,Easy,"Two Pointers, String",FALSE
"Filter Restaurants by Vegan-Friendly, Price and Distance",filter-restaurants-by-vegan-friendly-price-and-distance,Medium,"Array, Sorting",FALSE
Find the City With the Smallest Number of Neighbors at a Threshold Distance,find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance,Medium,"Dynamic Programming, Graph, Shortest Path",FALSE
Minimum Difficulty of a Job Schedule,minimum-difficulty-of-a-job-schedule,Hard,"Array, Dynamic Programming",FALSE
The K Weakest Rows in a Matrix,the-k-weakest-rows-in-a-matrix,Easy,"Array, Binary Search, Sorting, Heap (Priority Queue), Matrix",FALSE
Reduce Array Size to The Half,reduce-array-size-to-the-half,Medium,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue)",FALSE
Maximum Product of Splitted Binary Tree,maximum-product-of-splitted-binary-tree,Medium,"Tree, Depth-First Search, Binary Tree",FALSE
Jump Game V,jump-game-v,Hard,"Array, Dynamic Programming, Sorting",FALSE
Number of Steps to Reduce a Number to Zero,number-of-steps-to-reduce-a-number-to-zero,Easy,"Math, Bit Manipulation",FALSE
Number of Sub-arrays of Size K and Average Greater than or Equal to Threshold,number-of-sub-arrays-of-size-k-and-average-greater-than-or-equal-to-threshold,Medium,"Array, Sliding Window",FALSE
Angle Between Hands of a Clock,angle-between-hands-of-a-clock,Medium,Math,FALSE
Jump Game IV,jump-game-iv,Hard,"Array, Hash Table, Breadth-First Search",FALSE
Check If N and Its Double Exist,check-if-n-and-its-double-exist,Easy,"Array, Hash Table, Two Pointers, Binary Search, Sorting",FALSE
Minimum Number of Steps to Make Two Strings Anagram,minimum-number-of-steps-to-make-two-strings-anagram,Medium,"Hash Table, String, Counting",FALSE
Tweet Counts Per Frequency,tweet-counts-per-frequency,Medium,"Hash Table, Binary Search, Design, Sorting, Ordered Set",FALSE
Maximum Students Taking Exam,maximum-students-taking-exam,Hard,"Array, Dynamic Programming, Bit Manipulation, Matrix, Bitmask",FALSE
Count Negative Numbers in a Sorted Matrix,count-negative-numbers-in-a-sorted-matrix,Easy,"Array, Binary Search, Matrix",FALSE
Product of the Last K Numbers,product-of-the-last-k-numbers,Medium,"Array, Math, Design, Data Stream, Prefix Sum",FALSE
Maximum Number of Events That Can Be Attended,maximum-number-of-events-that-can-be-attended,Medium,"Array, Greedy, Sorting, Heap (Priority Queue)",FALSE
Construct Target Array With Multiple Sums,construct-target-array-with-multiple-sums,Hard,"Array, Heap (Priority Queue)",FALSE
Sort Integers by The Number of 1 Bits,sort-integers-by-the-number-of-1-bits,Easy,"Array, Bit Manipulation, Sorting, Counting",FALSE
Apply Discount Every n Orders,apply-discount-every-n-orders,Medium,"Array, Hash Table, Design",FALSE
Number of Substrings Containing All Three Characters,number-of-substrings-containing-all-three-characters,Medium,"Hash Table, String, Sliding Window",FALSE
Count All Valid Pickup and Delivery Options,count-all-valid-pickup-and-delivery-options,Hard,"Math, Dynamic Programming, Combinatorics",FALSE
Number of Days Between Two Dates,number-of-days-between-two-dates,Easy,"Math, String",FALSE
Validate Binary Tree Nodes,validate-binary-tree-nodes,Medium,"Tree, Depth-First Search, Breadth-First Search, Union Find, Graph, Binary Tree",FALSE
Closest Divisors,closest-divisors,Medium,Math,FALSE
Largest Multiple of Three,largest-multiple-of-three,Hard,"Array, Math, Dynamic Programming, Greedy, Sorting",FALSE
How Many Numbers Are Smaller Than the Current Number,how-many-numbers-are-smaller-than-the-current-number,Easy,"Array, Hash Table, Sorting, Counting Sort",FALSE
Rank Teams by Votes,rank-teams-by-votes,Medium,"Array, Hash Table, String, Sorting, Counting",FALSE
Linked List in Binary Tree,linked-list-in-binary-tree,Medium,"Linked List, Tree, Depth-First Search, Binary Tree",FALSE
Minimum Cost to Make at Least One Valid Path in a Grid,minimum-cost-to-make-at-least-one-valid-path-in-a-grid,Hard,"Array, Breadth-First Search, Graph, Heap (Priority Queue), Matrix, Shortest Path",FALSE
Increasing Decreasing String,increasing-decreasing-string,Easy,"Hash Table, String, Counting",FALSE
Find the Longest Substring Containing Vowels in Even Counts,find-the-longest-substring-containing-vowels-in-even-counts,Medium,"Hash Table, String, Bit Manipulation, Prefix Sum",FALSE
Longest ZigZag Path in a Binary Tree,longest-zigzag-path-in-a-binary-tree,Medium,"Dynamic Programming, Tree, Depth-First Search, Binary Tree",FALSE
Maximum Sum BST in Binary Tree,maximum-sum-bst-in-binary-tree,Hard,"Dynamic Programming, Tree, Depth-First Search, Binary Search Tree, Binary Tree",FALSE
Generate a String With Characters That Have Odd Counts,generate-a-string-with-characters-that-have-odd-counts,Easy,String,FALSE
Number of Times Binary String Is Prefix-Aligned,number-of-times-binary-string-is-prefix-aligned,Medium,Array,FALSE
Time Needed to Inform All Employees,time-needed-to-inform-all-employees,Medium,"Tree, Depth-First Search, Breadth-First Search",FALSE
Frog Position After T Seconds,frog-position-after-t-seconds,Hard,"Tree, Depth-First Search, Breadth-First Search, Graph",FALSE
Find a Corresponding Node of a Binary Tree in a Clone of That Tree,find-a-corresponding-node-of-a-binary-tree-in-a-clone-of-that-tree,Easy,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",FALSE
Lucky Numbers in a Matrix,lucky-numbers-in-a-matrix,Easy,"Array, Matrix",FALSE
Design a Stack With Increment Operation,design-a-stack-with-increment-operation,Medium,"Array, Stack, Design",FALSE
Balance a Binary Search Tree,balance-a-binary-search-tree,Medium,"Divide and Conquer, Greedy, Tree, Depth-First Search, Binary Search Tree, Binary Tree",FALSE
Maximum Performance of a Team,maximum-performance-of-a-team,Hard,"Array, Greedy, Sorting, Heap (Priority Queue)",FALSE
Find the Distance Value Between Two Arrays,find-the-distance-value-between-two-arrays,Easy,"Array, Two Pointers, Binary Search, Sorting",FALSE
Cinema Seat Allocation,cinema-seat-allocation,Medium,"Array, Hash Table, Greedy, Bit Manipulation",FALSE
Sort Integers by The Power Value,sort-integers-by-the-power-value,Medium,"Dynamic Programming, Memoization, Sorting",FALSE
Pizza With 3n Slices,pizza-with-3n-slices,Hard,"Array, Dynamic Programming, Greedy, Heap (Priority Queue)",FALSE
Create Target Array in the Given Order,create-target-array-in-the-given-order,Easy,"Array, Simulation",FALSE
Four Divisors,four-divisors,Medium,"Array, Math",FALSE
Check if There is a Valid Path in a Grid,check-if-there-is-a-valid-path-in-a-grid,Medium,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",FALSE
Longest Happy Prefix,longest-happy-prefix,Hard,"String, Rolling Hash, String Matching, Hash Function",FALSE
Find Lucky Integer in an Array,find-lucky-integer-in-an-array,Easy,"Array, Hash Table, Counting",FALSE
Count Number of Teams,count-number-of-teams,Medium,"Array, Dynamic Programming, Binary Indexed Tree, Segment Tree",FALSE
Design Underground System,design-underground-system,Medium,"Hash Table, String, Design",FALSE
Find All Good Strings,find-all-good-strings,Hard,"String, Dynamic Programming, String Matching",FALSE
Count Largest Group,count-largest-group,Easy,"Hash Table, Math",FALSE
Construct K Palindrome Strings,construct-k-palindrome-strings,Medium,"Hash Table, String, Greedy, Counting",FALSE
Circle and Rectangle Overlapping,circle-and-rectangle-overlapping,Medium,"Math, Geometry",FALSE
Reducing Dishes,reducing-dishes,Hard,"Array, Dynamic Programming, Greedy, Sorting",FALSE
Minimum Subsequence in Non-Increasing Order,minimum-subsequence-in-non-increasing-order,Easy,"Array, Greedy, Sorting",FALSE
Number of Steps to Reduce a Number in Binary Representation to One,number-of-steps-to-reduce-a-number-in-binary-representation-to-one,Medium,"String, Bit Manipulation",FALSE
Longest Happy String,longest-happy-string,Medium,"String, Greedy, Heap (Priority Queue)",FALSE
Stone Game III,stone-game-iii,Hard,"Array, Math, Dynamic Programming, Game Theory",FALSE
String Matching in an Array,string-matching-in-an-array,Easy,"Array, String, String Matching",FALSE
Queries on a Permutation With Key,queries-on-a-permutation-with-key,Medium,"Array, Binary Indexed Tree, Simulation",FALSE
HTML Entity Parser,html-entity-parser,Medium,"Hash Table, String",FALSE
